memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.4,0.24,0.4,20,1,130031981.0
0.4,0.26,0.4,20,0,319671675.0
0.4,0.26,0.4,20,1,126587403.0
0.4,0.28,0.4,20,0,297169031.0
0.4,0.28,0.4,20,1,124350130.0
0.4,0.3,0.4,20,0,270420552.0
0.4,0.3,0.4,20,1,122483124.0
0.4,0.32,0.4,20,0,241763201.0
0.4,0.32,0.4,20,1,120760720.0
0.4,0.34,0.4,20,0,211553478.0
0.4,0.34,0.4,20,1,120542575.0
0.4,0.36,0.4,20,0,179990690.0
0.4,0.36,0.4,20,1,118236209.0
0.4,0.38,0.4,20,0,146776543.0
0.4,0.38,0.4,20,1,114656470.0
0.4,0.4,0.4,20,0,111998975.0
0.4,0.4,0.4,20,1,111998947.0
0.4,0.0,0.4,25,0,426375833.0
0.4,0.0,0.4,25,1,126784118.0
0.4,0.02,0.4,25,0,434024757.0
0.4,0.02,0.4,25,1,130768707.0
0.4,0.04,0.4,25,0,440021872.0
0.4,0.04,0.4,25,1,135003044.0
0.4,0.06,0.4,25,0,443980236.0
0.4,0.06,0.4,25,1,140154259.0
0.4,0.08,0.4,25,0,445566238.0
0.4,0.08,0.4,25,1,146457428.0
0.4,0.1,0.4,25,0,444573912.0
0.4,0.1,0.4,25,1,152183932.0
0.4,0.12,0.4,25,0,440829565.0
0.4,0.12,0.4,25,1,154337607.0
0.4,0.14,0.4,25,0,434660299.0
0.4,0.14,0.4,25,1,153325258.0
0.4,0.16,0.4,25,0,425270022.0
0.4,0.16,0.4,25,1,151861057.0
0.4,0.18,0.4,25,0,412887969.0
0.4,0.18,0.4,25,1,151058251.0
0.4,0.2,0.4,25,0,397783783.0
0.4,0.2,0.4,25,1,149352676.0
0.4,0.22,0.4,25,0,380592279.0
0.4,0.22,0.4,25,1,146508708.0
0.4,0.24,0.4,25,0,361592640.0
0.4,0.24,0.4,25,1,143153286.0
0.4,0.26,0.4,25,0,341177178.0
0.4,0.26,0.4,25,1,141031438.0
0.4,0.28,0.4,25,0,319174875.0
0.4,0.28,0.4,25,1,140173402.0
0.4,0.3,0.4,25,0,292928834.0
0.4,0.3,0.4,25,1,139735184.0
0.4,0.32,0.4,25,0,264769430.0
0.4,0.32,0.4,25,1,139488150.0
0.4,0.34,0.4,25,0,235056518.0
0.4,0.34,0.4,25,1,140792940.0
0.4,0.36,0.4,25,0,203992345.0
0.4,0.36,0.4,25,1,140040004.0
0.4,0.38,0.4,25,0,171277648.0
0.4,0.38,0.4,25,1,138044345.0
0.4,0.4,0.4,25,0,136998975.0
0.4,0.4,0.4,25,1,136998947.0
0.4,0.0,0.4,30,0,441382288.0
0.4,0.0,0.4,30,1,131121048.0
0.4,0.02,0.4,30,0,449529662.0
0.4,0.02,0.4,30,1,135342852.0
0.4,0.04,0.4,30,0,456026297.0
0.4,0.04,0.4,30,1,139867709.0
0.4,0.06,0.4,30,0,460485561.0
0.4,0.06,0.4,30,1,145380624.0
0.4,0.08,0.4,30,0,462571988.0
0.4,0.08,0.4,30,1,152135258.0
0.4,0.1,0.4,30,0,462078842.0
0.4,0.1,0.4,30,1,158417022.0
0.4,0.12,0.4,30,0,458834670.0
0.4,0.12,0.4,30,1,161240817.0
0.4,0.14,0.4,30,0,453167199.0
0.4,0.14,0.4,30,1,161011788.0
0.4,0.16,0.4,30,0,444273627.0
0.4,0.16,0.4,30,1,160443462.0
0.4,0.18,0.4,30,0,432393339.0
0.4,0.18,0.4,30,1,160641276.0
0.4,0.2,0.4,30,0,417788426.0
0.4,0.2,0.4,30,1,160033091.0
0.4,0.22,0.4,30,0,401097244.0
0.4,0.22,0.4,30,1,158371179.0
0.4,0.24,0.4,30,0,382598062.0
0.4,0.24,0.4,30,1,156274594.0
0.4,0.26,0.4,30,0,362682711.0
0.4,0.26,0.4,30,1,155475488.0
0.4,0.28,0.4,30,0,341180790.0
0.4,0.28,0.4,30,1,155996682.0
0.4,0.3,0.4,30,0,315437134.0
0.4,0.3,0.4,30,1,156987244.0
0.4,0.32,0.4,30,0,287775729.0
0.4,0.32,0.4,30,1,158215580.0
0.4,0.34,0.4,30,0,258559611.0
0.4,0.34,0.4,30,1,161043317.0
0.4,0.36,0.4,30,0,227994002.0
0.4,0.36,0.4,30,1,161843799.0
0.4,0.38,0.4,30,0,195778753.0
0.4,0.38,0.4,30,1,161432220.0
0.4,0.4,0.4,30,0,161998975.0
0.4,0.4,0.4,30,1,161998947.0
0.4,0.0,0.4,35,0,456388743.0
0.4,0.0,0.4,35,1,135457978.0
0.4,0.02,0.4,35,0,465034567.0
0.4,0.02,0.4,35,1,139916997.0
0.4,0.04,0.4,35,0,472030722.0
0.4,0.04,0.4,35,1,144732374.0
0.4,0.06,0.4,35,0,476990886.0
0.4,0.06,0.4,35,1,150606989.0
0.4,0.08,0.4,35,0,479577738.0
0.4,0.08,0.4,35,1,157813088.0
0.4,0.1,0.4,35,0,479583772.0
