memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.1,0.005,0.15,10,0,548858109.0
0.1,0.005,0.15,10,1,411386015.0
0.1,0.01,0.15,10,0,540182766.0
0.1,0.01,0.15,10,1,384454736.0
0.1,0.015,0.15,10,0,530723160.0
0.1,0.015,0.15,10,1,350326543.0
0.1,0.02,0.15,10,0,520198407.0
0.1,0.02,0.15,10,1,310947076.0
0.1,0.025,0.15,10,0,508849121.0
0.1,0.025,0.15,10,1,269348052.0
0.1,0.03,0.15,10,0,496589641.0
0.1,0.03,0.15,10,1,230850919.0
0.1,0.035,0.15,10,0,483548980.0
0.1,0.035,0.15,10,1,203080410.0
0.1,0.04,0.15,10,0,469858209.0
0.1,0.04,0.15,10,1,185050506.0
0.1,0.045,0.15,10,0,455456293.0
0.1,0.045,0.15,10,1,172595471.0
0.1,0.05,0.15,10,0,440389352.0
0.1,0.05,0.15,10,1,161745345.0
0.1,0.055,0.15,10,0,425027173.0
0.1,0.055,0.15,10,1,154674481.0
0.1,0.06,0.15,10,0,409145145.0
0.1,0.06,0.15,10,1,148445445.0
0.1,0.065,0.15,10,0,392815579.0
0.1,0.065,0.15,10,1,143125285.0
0.1,0.07,0.15,10,0,376103475.0
0.1,0.07,0.15,10,1,138325222.0
0.1,0.075,0.15,10,0,357790469.0
0.1,0.075,0.15,10,1,133869578.0
0.1,0.08,0.15,10,0,339412118.0
0.1,0.08,0.15,10,1,129662804.0
0.1,0.085,0.15,10,0,320739914.0
0.1,0.085,0.15,10,1,125448948.0
0.1,0.09,0.15,10,0,301927287.0
0.1,0.09,0.15,10,1,121726458.0
0.1,0.095,0.15,10,0,282810700.0
0.1,0.095,0.15,10,1,117547832.0
0.1,0.1,0.15,10,0,263793483.0
0.1,0.1,0.15,10,1,114650680.0
0.1,0.0,0.15,50,0,737046660.0
0.1,0.0,0.15,50,1,570219027.0
0.1,0.005,0.15,50,0,729888309.0
0.1,0.005,0.15,50,1,553199495.0
0.1,0.01,0.15,50,0,722208486.0
0.1,0.01,0.15,50,1,529132736.0
0.1,0.015,0.15,50,0,713756120.0
0.1,0.015,0.15,50,1,497876669.0
0.1,0.02,0.15,50,0,704238207.0
0.1,0.02,0.15,50,1,461390874.0
0.1,0.025,0.15,50,0,693887255.0
0.1,0.025,0.15,50,1,422731378.0
0.1,0.03,0.15,50,0,682616295.0
0.1,0.03,0.15,50,1,387200582.0
0.1,0.035,0.15,50,0,670565594.0
0.1,0.035,0.15,50,1,362418091.0
0.1,0.04,0.15,50,0,657873816.0
0.1,0.04,0.15,50,1,347379487.0
0.1,0.045,0.15,50,0,644469060.0
0.1,0.045,0.15,50,1,337946409.0
0.1,0.05,0.15,50,0,630403297.0
0.1,0.05,0.15,50,1,330108585.0
0.1,0.055,0.15,50,0,616052727.0
0.1,0.055,0.15,50,1,326106481.0
0.1,0.06,0.15,50,0,601172185.0
0.1,0.06,0.15,50,1,322974325.0
0.1,0.065,0.15,50,0,585843542.0
0.1,0.065,0.15,50,1,320768479.0
0.1,0.07,0.15,50,0,570136788.0
0.1,0.07,0.15,50,1,319118542.0
0.1,0.075,0.15,50,0,552818780.0
0.1,0.075,0.15,50,1,317825009.0
0.1,0.08,0.15,50,0,535437465.0
0.1,0.08,0.15,50,1,316788204.0
0.1,0.085,0.15,50,0,517753886.0
0.1,0.085,0.15,50,1,315761943.0
0.1,0.09,0.15,50,0,499943616.0
0.1,0.09,0.15,50,1,315258165.0
0.1,0.095,0.15,50,0,481822487.0
0.1,0.095,0.15,50,1,314302051.0
0.1,0.1,0.15,50,0,463792861.0
0.1,0.1,0.15,50,1,314650621.0
0.1,0.0,0.15,100,0,962082960.0
0.1,0.0,0.15,100,1,743975377.0
0.1,0.005,0.15,100,0,956176059.0
0.1,0.005,0.15,100,1,730466345.0
0.1,0.01,0.15,100,0,949740636.0
0.1,0.01,0.15,100,1,709980236.0
0.1,0.015,0.15,100,0,942547320.0
0.1,0.015,0.15,100,1,682314555.0
0.1,0.02,0.15,100,0,934287957.0
0.1,0.02,0.15,100,1,649446140.0
0.1,0.025,0.15,100,0,925185005.0
0.1,0.025,0.15,100,1,614461288.0
0.1,0.03,0.15,100,0,915149695.0
0.1,0.03,0.15,100,1,582638582.0
0.1,0.035,0.15,100,0,904336444.0
0.1,0.035,0.15,100,1,561591238.0
0.1,0.04,0.15,100,0,892893416.0
0.1,0.04,0.15,100,1,550290887.0
0.1,0.045,0.15,100,0,880735122.0
0.1,0.045,0.15,100,1,544635109.0
0.1,0.05,0.15,100,0,867920747.0
0.1,0.05,0.15,100,1,540562635.0
0.1,0.055,0.15,100,0,854834677.0
0.1,0.055,0.15,100,1,540396481.0
0.1,0.06,0.15,100,0,841206106.0
0.1,0.06,0.15,100,1,541135425.0
0.1,0.065,0.15,100,0,827128838.0
0.1,0.065,0.15,100,1,542822479.0
0.1,0.07,0.15,100,0,812678538.0
0.1,0.07,0.15,100,1,545110192.0
0.1,0.075,0.15,100,0,796604479.0
0.1,0.075,0.15,100,1,547769309.0
0.1,0.08,0.15,100,0,780469675.0
0.1,0.08,0.15,100,1,550694954.0
0.1,0.085,0.15,100,0,764021639.0
0.1,0.085,0.15,100,1,553653243.0
0.1,0.09,0.15,100,0,747464417.0
0.1,0.09,0.15,100,1,557172865.0
0.1,0.095,0.15,100,0,730587632.0
0.1,0.095,0.15,100,1,560244995.0
0.1,0.1,0.15,100,0,713792673.0
0.1,0.1,0.15,100,1,564650621.0
0.1,0.0,0.2,10,0,559477630.0
0.1,0.0,0.2,10,1,433137373.0
0.1,0.005,0.2,10,0,555093489.0
0.1,0.005,0.2,10,1,423498476.0
0.1,0.01,0.2,10,0,550122953.0
0.1,0.01,0.2,10,1,409071032.0
0.1,0.015,0.2,10,0,544593004.0
