memory_ratio,compress_ratio,miss_cost,load_dist,min_lat_pc_size,min_lat_pc_size_gb,min_lat,zero_ac_lat,zero_pc_lat,zero_ac_lat_to_min_lat,zero_pc_lat_to_min_lat,d_u,d_c
0.1,0.7,100,0,0.0,0.0,989287654.0,1046452253.0,989287654.0,1.0577835968829346,1.0,10.0,7.0
0.1,0.7,100,1,0.0,0.0,765021242.0,833223646.0,765021242.0,1.0891509937968493,1.0,10.0,7.0
0.1,0.75,10,0,0.0,0.0,586723865.0,604392302.0,586723865.0,1.0301137179753204,1.0,10.0,7.5
0.1,0.75,10,1,0.1,0.1333,407916733.0,407916733.0,454164855.0,1.0,1.1133763787032487,10.0,7.5
0.1,0.75,50,0,0.0,0.0,766752905.0,804392302.0,766752905.0,1.0490893438480027,1.0,10.0,7.5
0.1,0.75,50,1,0.0,0.0,593169935.0,607916395.0,593169935.0,1.0248604305948177,1.0,10.0,7.5
0.1,0.75,100,0,0.0,0.0,991789205.0,1054392302.0,991789205.0,1.0631213736592344,1.0,10.0,7.5
0.1,0.75,100,1,0.0,0.0,766926285.0,857916095.0,766926285.0,1.1186421847570396,1.0,10.0,7.5
0.1,0.8,10,0,0.0,0.0,589189193.0,611783330.0,589189193.0,1.0383478469538052,1.0,10.0,8.0
0.1,0.8,10,1,0.1,0.125,430492833.0,430492833.0,456062226.0,1.0,1.0593956299383966,10.0,8.0
0.1,0.8,50,0,0.0,0.0,769218233.0,811783330.0,769218233.0,1.0553355279086318,1.0,10.0,8.0
0.1,0.8,50,1,0.0,0.0,595067306.0,630492037.0,595067306.0,1.0595306289604827,1.0,10.0,8.0
0.1,0.8,100,0,0.0,0.0,994254533.0,1061783330.0,994254533.0,1.0679190235082388,1.0,10.0,8.0
0.1,0.8,100,1,0.0,0.0,768823656.0,880491478.0,768823656.0,1.1452450391302735,1.0,10.0,8.0
0.1,0.85,10,0,0.0,0.0,591655058.0,619388805.0,591655058.0,1.0468748582894731,1.0,10.0,8.5
0.1,0.85,10,1,0.1,0.1176,451803244.0,451803244.0,457980555.0,1.0,1.0136725689379955,10.0,8.5
0.1,0.85,50,0,0.0,0.0,771684098.0,819388805.0,771684098.0,1.0618189582027644,1.0,10.0,8.5
0.1,0.85,50,1,0.0,0.0,596985635.0,651802523.0,596985635.0,1.091822792352449,1.0,10.0,8.5
0.1,0.85,100,0,0.0,0.0,996720398.0,1069388805.0,996720398.0,1.0729075146307983,1.0,10.0,8.5
0.1,0.85,100,1,0.0,0.0,770741985.0,901802205.0,770741985.0,1.1700442204403851,1.0,10.0,8.5
0.1,0.9,10,0,0.0,0.0,594142848.0,626539910.0,594142848.0,1.0545273954050862,1.0,10.0,9.0
0.1,0.9,10,1,0.0,0.0,459891612.0,471459276.0,459891612.0,1.0251530223604077,1.0,10.0,9.0
0.1,0.9,50,0,0.0,0.0,774171888.0,826539910.0,774171888.0,1.0676439209582873,1.0,10.0,9.0
0.1,0.9,50,1,0.0,0.0,598896692.0,671459023.0,598896692.0,1.1211600130194073,1.0,10.0,9.0
0.1,0.9,100,0,0.0,0.0,999208188.0,1076539910.0,999208188.0,1.0773930027082603,1.0,10.0,9.0
0.1,0.9,100,1,0.0,0.0,772653042.0,921458773.0,772653042.0,1.1925906233602843,1.0,10.0,9.0
0.1,0.95,10,0,0.0,0.0,596619850.0,633582865.0,596619850.0,1.061954048293901,1.0,10.0,9.5
0.1,0.95,10,1,0.0,0.0,461800951.0,489936725.0,461800951.0,1.0609261932853837,1.0,10.0,9.5
0.1,0.95,50,0,0.0,0.0,776648890.0,833582865.0,776648890.0,1.0733072250962723,1.0,10.0,9.5
0.1,0.95,50,1,0.0,0.0,600806031.0,689936535.0,600806031.0,1.1483515467573593,1.0,10.0,9.5
0.1,0.95,100,0,0.0,0.0,1001685190.0,1083582865.0,1001685190.0,1.0817598940441557,1.0,10.0,9.5
0.1,0.95,100,1,0.0,0.0,774562381.0,939936435.0,774562381.0,1.213506436739793,1.0,10.0,9.5
0.1,1.0,10,0,0.0,0.0,599095741.0,640611014.0,599095741.0,1.0692965583943286,1.0,10.0,10.0
0.1,1.0,10,1,0.0,0.0,463716458.0,507738508.0,463716458.0,1.0949331196694339,1.0,10.0,10.0
0.1,1.0,50,0,0.0,0.0,779124781.0,840611014.0,779124781.0,1.0789170547509515,1.0,10.0,10.0
0.1,1.0,50,1,0.0,0.0,602721538.0,707738095.0,602721538.0,1.1742372727353905,1.0,10.0,10.0
0.1,1.0,100,0,0.0,0.0,1004161081.0,1090611014.0,1004161081.0,1.086091698469242,1.0,10.0,10.0
0.1,1.0,100,1,0.0,0.0,776477888.0,957737831.0,776477888.0,1.2334386410756362,1.0,10.0,10.0
0.15,0.1,10,0,0.1,1.0,57735562.0,60499895.0,524052717.0,1.0478792083118547,9.076775194463336,6.6667,0.6667
0.15,0.1,10,1,0.1,1.0,51716138.0,60499531.0,345230643.0,1.169838532799955,6.675491565128084,6.6667,0.6667
0.15,0.1,50,0,0.1,1.0,247774042.0,260499895.0,694096357.0,1.051360719215292,2.801327981726189,6.6667,0.6667
0.15,0.1,50,1,0.1,1.0,220064058.0,260499531.0,456690883.0,1.183744103273784,2.075263389898954,6.6667,0.6667
0.15,0.1,100,0,0.1,1.0,485322142.0,510499895.0,906650907.0,1.0518784345924197,1.868142473911689,6.6667,0.6667
0.15,0.1,100,1,0.06,0.6,430336108.0,510499531.0,596016183.0,1.1862809592542953,1.3850015648698482,6.6667,0.6667
0.15,0.15,10,0,0.15,1.0,60749708.0,60749708.0,526391776.0,1.0,8.664926850347989,6.6667,1.0
0.15,0.15,10,1,0.15,1.0,60750068.0,60750068.0,346760203.0,1.0,5.707980491478627,6.6667,1.0
0.15,0.15,50,0,0.15,1.0,260749708.0,260749708.0,696435416.0,1.0,2.6708962450688536,6.6667,1.0
0.15,0.15,50,1,0.15,1.0,260750068.0,260750068.0,458220443.0,1.0,1.7573166769030335,6.6667,1.0
0.15,0.15,100,0,0.15,1.0,510749708.0,510749708.0,908989966.0,1.0,1.779717054679158,6.6667,1.0
0.15,0.15,100,1,0.06,0.4,465796442.0,510750068.0,597545743.0,1.0965091656925967,1.2828473752060132,6.6667,1.0
0.15,0.2,10,0,0.15,0.75,218871108.0,218871108.0,528740325.0,1.0,2.4157611748372014,6.6667,1.3333
0.15,0.2,10,1,0.15,0.75,102741975.0,102741975.0,348298265.0,1.0,3.3900289049339376,6.6667,1.3333
0.15,0.2,50,0,0.15,0.75,418870220.0,418870220.0,698783965.0,1.0,1.668258882190288,6.6667,1.3333
0.15,0.2,50,1,0.105,0.525,299367930.0,302741914.0,459758505.0,1.0112703588523995,1.535764051279641,6.6667,1.3333
0.15,0.2,100,0,0.15,0.75,668869942.0,668869942.0,911338515.0,1.0,1.3625048126321693,6.6667,1.3333
0.15,0.2,100,1,0.06,0.3,493772510.0,552741914.0,599083805.0,1.119426259675736,1.2132789753726874,6.6667,1.3333
0.15,0.25,10,0,0.15,0.6,314219465.0,314219465.0,531060563.0,1.0,1.6900944153793909,6.6667,1.6667
0.15,0.25,10,1,0.15,0.6,128794925.0,128794925.0,349823487.0,1.0,2.716127883144464,6.6667,1.6667
0.15,0.25,50,0,0.15,0.6,514218962.0,514218962.0,701104203.0,1.0,1.3634351410790644,6.6667,1.6667
0.15,0.25,50,1,0.105,0.42,318945389.0,328794885.0,461283727.0,1.030881449739347,1.4462780868106546,6.6667,1.6667
0.15,0.25,100,0,0.15,0.6,764218731.0,764218731.0,913658753.0,1.0,1.1955461387402189,6.6667,1.6667
0.15,0.25,100,1,0.075,0.3,516419758.0,578794835.0,600609027.0,1.120783676522307,1.1630248798497753,6.6667,1.6667
0.15,0.3,10,0,0.15,0.5,376441661.0,376441661.0,533414282.0,1.0,1.416990565239271,6.6667,2.0
0.15,0.3,10,1,0.15,0.5,146734728.0,146734728.0,351359628.0,1.0,2.3945226381582962,6.6667,2.0
0.15,0.3,50,0,0.15,0.5,576441297.0,576441297.0,703457922.0,1.0,1.2203461578152683,6.6667,2.0
0.15,0.3,50,1,0.1125,0.375,336041280.0,346734728.0,462819868.0,1.0318218285563012,1.377270875768596,6.6667,2.0
0.15,0.3,100,0,0.15,0.5,826441011.0,826441011.0,916012472.0,1.0,1.108382158929429,6.6667,2.0
0.15,0.3,100,1,0.075,0.25,538356908.0,596734728.0,602145168.0,1.1084370222291269,1.1184869350650182,6.6667,2.0
0.15,0.35,10,0,0.15,0.4286,423471348.0,423471348.0,535732536.0,1.0,1.2650974818726106,6.6667,2.3333
0.15,0.35,10,1,0.15,0.4286,161185394.0,161185394.0,352898305.0,1.0,2.189393816911227,6.6667,2.3333
0.15,0.35,50,0,0.15,0.4286,623471043.0,623471043.0,705776176.0,1.0,1.132011155809204,6.6667,2.3333
0.15,0.35,50,1,0.12,0.3429,352358574.0,361185394.0,464358545.0,1.025050674657345,1.3178579414956992,6.6667,2.3333
0.15,0.35,100,0,0.15,0.4286,873470743.0,873470743.0,918330726.0,1.0,1.0513583120665553,6.6667,2.3333
0.15,0.35,100,1,0.09,0.2571,566753115.0,611185394.0,603683845.0,1.078397944050118,1.0651619356340019,6.6667,2.3333
0.15,0.4,10,0,0.15,0.375,456504790.0,456504790.0,538096359.0,1.0,1.1787310249252807,6.6667,2.6667
0.15,0.4,10,1,0.15,0.375,172951547.0,172951547.0,354435178.0,1.0,2.049332221353302,6.6667,2.6667
0.15,0.4,50,0,0.15,0.375,656504644.0,656504644.0,708139999.0,1.0,1.0786519264896473,6.6667,2.6667
0.15,0.4,50,1,0.1275,0.3188,367987801.0,372951379.0,465895418.0,1.0134884308298036,1.2660621268801244,6.6667,2.6667
0.15,0.4,100,0,0.15,0.375,906504544.0,906504544.0,920694549.0,1.0,1.0156535398459072,6.6667,2.6667
0.15,0.4,100,1,0.105,0.2625,589677178.0,622951233.0,605220718.0,1.0564275780739134,1.0263594057560763,6.6667,2.6667
0.15,0.45,10,0,0.15,0.3333,485201130.0,485201130.0,540414186.0,1.0,1.1137941620210159,6.6667,3.0
0.15,0.45,10,1,0.15,0.3333,184061958.0,184061958.0,355960421.0,1.0,1.933916301162025,6.6667,3.0
0.15,0.45,50,0,0.15,0.3333,685201015.0,685201015.0,710457826.0,1.0,1.0368604401439774,6.6667,3.0
0.15,0.45,50,1,0.1425,0.3167,383049422.0,384061730.0,467420661.0,1.0026427608080297,1.2202620188263853,6.6667,3.0
0.15,0.45,100,0,0.0,0.0,923012376.0,935201010.0,923012376.0,1.013205276892192,1.0,6.6667,3.0
0.15,0.45,100,1,0.0,0.0,606745961.0,634061630.0,606745961.0,1.0450199436927112,1.0,6.6667,3.0
0.15,0.5,10,0,0.15,0.3,511223944.0,511223944.0,542768134.0,1.0,1.061703271863964,6.6667,3.3334
0.15,0.5,10,1,0.15,0.3,195085191.0,195085191.0,357496479.0,1.0,1.832514693542269,6.6667,3.3334
0.15,0.5,50,0,0.15,0.3,711223838.0,711223838.0,712811774.0,1.0,1.0022326810705127,6.6667,3.3334
0.15,0.5,50,1,0.15,0.3,395085081.0,395085081.0,468956719.0,1.0,1.1869765312651732,6.6667,3.3334
0.15,0.5,100,0,0.0,0.0,925366324.0,961223788.0,925366324.0,1.038749480146416,1.0,6.6667,3.3334
0.15,0.5,100,1,0.0,0.0,608282019.0,645085081.0,608282019.0,1.0605032877028049,1.0,6.6667,3.3334
0.15,0.55,10,0,0.15,0.2727,526625205.0,526625205.0,545109874.0,1.0,1.0351002360397847,6.6667,3.6667
0.15,0.55,10,1,0.15,0.2727,205858975.0,205858975.0,359024733.0,1.0,1.7440324523135315,6.6667,3.6667
0.15,0.55,50,0,0.0,0.0,715153514.0,726625205.0,715153514.0,1.0160408790216753,1.0,6.6667,3.6667
0.15,0.55,50,1,0.15,0.2727,405858838.0,405858838.0,470484973.0,1.0,1.1592330360932044,6.6667,3.6667
0.15,0.55,100,0,0.0,0.0,927708064.0,976625205.0,927708064.0,1.0527290242461447,1.0,6.6667,3.6667
0.15,0.55,100,1,0.0,0.0,609810273.0,655858833.0,609810273.0,1.0755129292484058,1.0,6.6667,3.6667
0.15,0.6,10,0,0.15,0.25,540306686.0,540306686.0,547439977.0,1.0,1.0132023000729626,6.6667,4.0
0.15,0.6,10,1,0.15,0.25,217658178.0,217658178.0,360558524.0,1.0,1.6565356161347633,6.6667,4.0
0.15,0.6,50,0,0.0,0.0,717483617.0,740306434.0,717483617.0,1.0318095305024924,1.0,6.6667,4.0
0.15,0.6,50,1,0.15,0.25,417657893.0,417657893.0,472018764.0,1.0,1.1301564555850498,6.6667,4.0
0.15,0.6,100,0,0.0,0.0,930038167.0,990306239.0,930038167.0,1.06480171904601,1.0,6.6667,4.0
0.15,0.6,100,1,0.0,0.0,611344064.0,667657878.0,611344064.0,1.092114763708575,1.0,6.6667,4.0
0.15,0.65,10,0,0.0,0.0,549791604.0,552814320.0,549791604.0,1.0054979304485705,1.0,6.6667,4.3334
0.15,0.65,10,1,0.15,0.2308,231749396.0,231749396.0,362086769.0,1.0,1.5624065272644767,6.6667,4.3334
0.15,0.65,50,0,0.0,0.0,719835244.0,752814165.0,719835244.0,1.0458145405839563,1.0,6.6667,4.3334
0.15,0.65,50,1,0.15,0.2308,431748845.0,431748845.0,473547009.0,1.0,1.096811293148914,6.6667,4.3334
0.15,0.65,100,0,0.0,0.0,932389794.0,1002814100.0,932389794.0,1.0755309704730638,1.0,6.6667,4.3334
0.15,0.65,100,1,0.0,0.0,612872309.0,681748540.0,612872309.0,1.1123826774167407,1.0,6.6667,4.3334
0.15,0.7,10,0,0.0,0.0,552114298.0,564705057.0,552114298.0,1.0228046240526811,1.0,6.6667,4.6667
